Country,launched_at,Categories,Prct_goal
USA,16/6/01,film and video,15
USA,16/11/24,technology,61.02
USA,14/8/07,publishing,0
USA,14/7/07,publishing,152.42
USA,15/4/27,publishing,36.67
USA,12/6/13,art,7
USA,13/10/15,publishing,115.95
USA,12/6/12,art,102.05
USA,14/11/18,photography,14.41
USA,16/8/23,music,122.67
USA,14/6/14,film and video,0.77
USA,16/8/18,games,255.8
USA,14/12/23,photography,0.04
USA,14/7/29,publishing,0.31
USA,15/3/01,art,0
USA,14/2/20,music,8.8
USA,15/6/01,food,112.12
USA,15/5/24,music,292
USA,16/9/23,games,262.23
USA,17/3/17,technology,0.67
USA,14/10/05,publishing,25
USA,13/11/29,music,0
USA,17/3/23,games,297.42
USA,12/1/12,publishing,0.04
USA,15/4/14,technology,108.53
USA,15/9/01,theater,100.29
USA,15/12/13,publishing,0
USA,12/10/02,music,0.79
USA,15/10/07,art,107.55
USA,17/5/08,music,91.61
USA,15/3/09,art,140
USA,12/4/12,publishing,2.7
USA,14/8/03,publishing,0
USA,14/3/05,art,36.67
USA,15/7/22,music,100
USA,13/4/05,music,100
USA,14/3/18,technology,2.23
USA,13/8/30,technology,231.6
USA,16/7/27,journalism,0.02
USA,15/5/07,publishing,0.27
USA,12/5/15,publishing,131.85
USA,15/7/09,publishing,18.66
USA,12/5/10,publishing,1.67
USA,14/12/01,games,742.58
USA,12/10/19,publishing,0.93
USA,13/8/15,music,195.4
USA,13/10/21,publishing,0.5
USA,14/5/05,music,20.31
USA,10/8/05,music,135
USA,11/6/14,music,117.5
USA,12/12/12,music,7
USA,14/6/22,technology,12.96
USA,16/6/21,technology,4.6
USA,12/8/23,publishing,0.64
USA,15/2/26,journalism,1.05
USA,17/1/17,music,129.5
USA,16/8/03,fashion,0
USA,17/5/09,food,0.06
USA,17/2/21,photography,101.19
USA,15/2/17,film and video,4.06
USA,14/9/30,art,198.73
USA,15/10/14,music,111.11
USA,16/6/28,publishing,0.41
USA,11/7/26,film and video,114.05
USA,15/11/05,technology,196.75
USA,15/4/09,music,0.2
USA,16/10/18,games,2596.4
USA,12/3/07,publishing,0
USA,16/7/28,dance,102.12
USA,17/9/09,music,35.17
USA,13/7/24,publishing,0
USA,15/4/22,technology,397.03
USA,11/10/02,art,126.67
USA,16/11/17,technology,118.36
USA,14/6/12,publishing,7.25
USA,15/2/15,journalism,0.02
USA,13/5/07,music,100.48
USA,15/4/20,art,0
USA,12/11/19,music,10.08
USA,13/8/01,technology,9.57
USA,16/2/13,film and video,110.01
USA,16/11/11,games,16.28
USA,15/9/26,publishing,318.67
USA,14/8/07,journalism,0
USA,13/11/15,publishing,26.19
USA,12/4/06,publishing,3.35
USA,13/7/09,music,100
USA,14/10/14,publishing,28.24
USA,11/8/25,publishing,119.43
USA,17/7/02,publishing,0.04
USA,12/5/22,games,0.1
USA,14/1/15,music,5.1
USA,13/4/25,art,5.89
USA,14/4/05,art,0
USA,17/2/03,film and video,3.33
USA,16/10/03,technology,337.84
USA,14/7/22,technology,87.88
USA,11/8/30,publishing,0
USA,13/2/10,art,101.33
USA,15/12/20,publishing,0.83
USA,15/10/28,technology,0.73
USA,17/5/06,theater,12
USA,11/11/16,publishing,3.01
USA,17/1/20,food,0.04
USA,15/3/11,technology,0.02
USA,14/4/28,music,23.4
USA,16/7/13,comics,151.65
USA,17/3/26,film and video,4.38
USA,13/6/03,publishing,417.76
USA,15/12/27,publishing,101.09
USA,17/9/14,film and video,34.62
USA,15/12/25,technology,0.08
USA,13/3/29,art,8
USA,11/7/14,music,41.97
USA,15/5/20,music,26.14
USA,15/12/07,film and video,101.96
USA,16/8/10,technology,0
