"","subregion","region","TotalBackers","MeanBackers","MedianBackers","MeanUSD","TotalUSD","MedianUSD"
"393","houston","alabama",182,14,4,1175.54923076923,15282.14,70
"394","houston","georgia",370,19.4736842105263,3,1651.42105263158,31377,16
"395","howard","indiana",352,19.5555555555556,1.5,971.555555555556,17488,48
"396","howard","maryland",227,25.2222222222222,5,2146.77777777778,19321,96
"397","howard","texas",12,3,2.5,89.25,357,68
"398","howell","missouri",58,9.66666666666667,5.5,714.166666666667,4285,116.5
"399","hudson","new jersey",17960,128.285714285714,17,7724.57364285714,1081440.31,1016
"400","humboldt","california",1766,34.6274509803922,11,2182.24980392157,111294.74,545
"401","humboldt","nevada",28,28,28,1287,1287,1287
"402","iberia","louisiana",9,4.5,4.5,51,102,51
"403","imperial","california",53,4.07692307692308,1,81.7692307692308,1063,25
"404","independence","arkansas",236,59,5,4563,18252,33.5
"405","indian river","florida",163,6.52,1,536.7232,13418.08,10
"406","indiana","pennsylvania",19,19,19,2180,2180,2180
"407","ingham","michigan",6250,44.3262411347518,7,2425.11588652482,341941.34,315
"408","ionia","michigan",74,24.6666666666667,3,1808.33333333333,5425,60
"409","iredell","north carolina",1113,42.8076923076923,8,3869.61615384615,100610.02,210.5
"410","iron","utah",1753,56.5483870967742,21,5980.88709677419,185407.5,884
"411","island","washington",106,15.1428571428571,2,659.142857142857,4614,21
"412","jackson","illinois",3578,77.7826086956522,11.5,3540.81260869565,162877.38,510.5
"413","jackson","indiana",382,34.7272727272727,16,2058.09727272727,22639.07,535
"414","jackson","mississippi",13,13,13,10027,10027,10027
"415","jackson","missouri",31846,55.5776614310646,10,4187.80757417103,2399613.74,511
"416","jackson","oklahoma",4,4,4,103,103,103
"417","jackson","oregon",5085,86.1864406779661,16,9377.18644067797,553254,1050
"418","james city","virginia",3771,107.742857142857,25,7582.83828571429,265399.34,1755
"419","jasper","missouri",1099,28.1794871794872,6,1574.59461538462,61409.19,171
"420","jefferson","alabama",70,11.6666666666667,5.5,720.333333333333,4322,169.5
"421","jefferson","colorado",6394,60.3207547169811,10,2634.11943396226,279216.66,485.5
"422","jefferson","kentucky",21810,84.5348837209302,8,5116.20205426357,1319980.13,371
"423","jefferson","louisiana",116,8.28571428571429,2,280.357142857143,3925,13
"424","jefferson","missouri",505,72.1428571428571,6,1997.80571428571,13984.64,335
"425","jefferson","ohio",54,10.8,2,563,2815,35
"426","jefferson","texas",495,27.5,11,3596.10888888889,64729.96,553.5
"427","jefferson","washington",6979,348.95,47,44636.578,892731.56,2357
"428","jefferson","wisconsin",30,10,2,696,2088,25
"429","jennings","indiana",435,435,435,11090,11090,11090
"430","jerome","idaho",29,5.8,2,228,1140,31
"431","jessamine","kentucky",57,11.4,12,353.8,1769,335
"432","johnson","indiana",527,29.2777777777778,3,1107.11111111111,19928,76.5
"433","johnson","iowa",8780,114.025974025974,23,6245.91974025974,480935.82,963
"434","johnson","kansas",9733,78.491935483871,9.5,23990.9151612903,2974873.48,445.5
"435","johnson","missouri",99,19.8,13,2479.762,12398.81,780
"436","johnson","texas",164,16.4,5,816.8,8168,228
